n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
54,56,1550.4107303506917,0.010948101154286722,0.591197462331483,449,6,0.04618028020089876,60.351462683936916,"1,000 cps",3.0
40,53,1503.240729292057,0.014577772544093787,0.5831109017637515,361,5,0.030224525043177908,49.03846387013482,"1,000 cps",3.0
38,44,1099.3134760659316,0.01023391812865497,0.3888888888888889,436,4,0.02131003916718205,41.94367924568826,"1,000 cps",3.0
38,106,2406.419038998411,0.021178768335605152,0.8047931967529958,439,9,0.07506764592191728,95.28037538117951,"10,000 cps",4.0
25,115,2171.1015550110287,0.02771879197970048,0.692969799492512,461,6,0.0703268819344246,84.49505955934774,"10,000 cps",4.0
50,101,2165.6943401678477,0.014762550881953867,0.7381275440976933,455,7,0.05995276144529876,90.78546147628845,"10,000 cps",4.0
7,14,167.11875473635052,0.001680538980951374,0.011763772866659618,524,3,0.0017183039018716303,12.128813863628324,100 cps,2.0
8,9,205.14147060378556,0.0013845564132388708,0.011076451305910966,526,1,0.0016389975679390913,13.36715594268793,100 cps,2.0
3,4,86.46988710016834,0.002171717171717172,0.0065151515151515155,532,2,0.0006565656565656573,9.044554292929277,100 cps,2.0
38,80,4382.997088608159,0.023284434311032644,0.8848085038192405,317,10,0.1449975962822499,186.87271591172134,"100,000 cps",5.0
17,92,5486.873218565513,0.05608527312590381,0.9534496431403648,284,7,0.20185038329368227,249.81130573178234,"100,000 cps",5.0
23,93,4900.198351286457,0.04144054063372755,0.9531324345757336,313,8,0.1697594501718213,205.2259226583842,"100,000 cps",5.0
39,107,3142.932606270601,0.02246624264297313,0.8761834630759521,387,8,0.07350620660635387,100.02458392506492,"3,000 cps",3.4771212547196626
49,91,2309.034218259843,0.015989667517636218,0.7834937083641746,417,7,0.07034471819816013,84.6030284004795,"3,000 cps",3.4771212547196626
50,80,1679.0653484550896,0.013223140495867768,0.6611570247933884,459,7,0.04494439342924189,66.28200619409574,"3,000 cps",3.4771212547196626
0,0,53.753263473555464,0.0,0.0,1200,0,0.0,7.856708925968746,30 cps,1.4771212547196624
3,3,94.9375559404768,0.002419504932067746,0.0072585147962032385,592,0,0.0009644180498451851,11.124851213136395,30 cps,1.4771212547196624
5,5,74.84733845706648,0.0,0.0,971,0,0.0003123698458975427,10.10761531653479,30 cps,1.4771212547196624
23,113,5107.978574824235,0.039645156225467104,0.9118385931857435,328,9,0.12819908933898566,190.89074848223208,"30,000 cps",4.477121254719663
26,134,3352.9918646261617,0.03456872552349939,0.8987868636109843,388,8,0.10616212375006344,126.87060460128919,"30,000 cps",4.477121254719663
13,14,266.191531415495,0.002535989973175903,0.03296786965128674,483,2,0.0025887010811633925,15.299331040725534,300 cps,2.4771212547196626
26,28,566.7516867964155,0.0040341252462464585,0.10488725640240791,459,3,0.007524742373227228,24.749670526817084,300 cps,2.4771212547196626
14,17,319.52762686732984,0.001836807946437728,0.025715311250128194,502,2,0.002358732437698699,17.23387708098312,300 cps,2.4771212547196626
